Public,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
28/02/2002,0.002982805,0.003083149,-0.00323061,0.004168406,-0.005563203,-0.065992905,0.008213406,0.002076566,0.004233291,0.009571697,-0.011852704,0.006599408,0.004259205,0.037386297,0.041127726,0.001166662,-0.070151733,0.002279754,-0.002352644,0.026212278,0.010015679,0.027674013,-0.001600794,-0.007165381,0.005098754,0.063797301,0.040726197,0.055150499,-0.021272832,0.048905441,0.006721492,0.004575588,0.002279754,0.008213406,-0.00323061,-0.003149295,0.009452325,0.041934649,-0.005633649,0.018704216,-0.000444955,-0.019285387,-0.123075734,0.025914187,0.004291289,-0.001610632,-0.00508235,0.036273463,0.001193447
29/03/2002,0.003002808,0.002817533,-0.017478123,0.002351671,-0.010550757,0.033178072,-0.020182696,-0.010991877,-0.010509977,-0.002257726,0.023892706,-0.018578465,-0.012010505,-0.000507594,-0.028438322,-0.005576828,0.026936401,0.018196548,0.051734059,0.063585737,0.062270832,0.061879869,0.057181194,0.051936971,0.058455288,0.023153785,0.064684261,0.041901263,0.046106704,0.025160957,-0.00590944,-0.009016544,0.018196548,-0.020182696,-0.017478123,0.049038786,0.06734551,0.048119845,0.039225459,0.056403585,0.067269866,0.03760931,0.068852555,0.102251554,0.004213682,0.028798407,0.04326001,0.034993025,0.003955353
30/04/2002,0.003555159,0.003831295,0.011465122,0.004624213,0.015801485,0.030448051,0.020720909,0.011360376,0.013122175,0.017561401,0.01539249,0.012608972,0.012016611,0.012419217,0.020529474,0.008119203,0.016216802,0.015423221,0.008039608,0.03279836,0.009745993,0.031248483,0.000619487,-0.019089309,0.019435887,0.003144517,0.052810045,-0.00813939,-0.047888429,0.094618984,0.02959535,0.022324356,0.015423221,0.020720909,0.011465122,-0.04341315,-0.000190556,0.025202357,-0.019733954,-0.002469696,0.01356044,-0.060627844,-0.120904343,6.57966E-06,0.021075535,0.000384555,-0.01178661,0.013530186,0.004182633
31/05/2002,0.003305916,0.003396839,-0.000811359,0.013137139,-0.002602134,-0.008182771,0.005258588,0.001971465,0.003136641,0.014746408,-0.008653038,0.014068247,0.007697681,-0.005198593,0.00602028,0.001909661,-0.018742637,-0.003857513,-0.001507429,0.032060481,-0.015996513,-0.08187178,0.005923249,0.002372834,-0.038733844,-0.046583237,0.072095499,-0.065928144,-0.010065304,0.021300966,0.022429678,0.022112119,-0.003857513,0.005258588,-0.000811359,-0.030225825,-0.041167909,0.026810312,-0.02028227,-0.02890914,-0.015226046,-0.007367194,-0.053726373,-0.015380161,0.01891973,0.010395571,0.00538136,0.025737551,0.002230403
28/06/2002,0.002987678,0.003290245,0.021534395,0.017424887,0.012351021,-0.055871175,0.011669873,0.016930394,0.013128143,0.015551398,-0.076344359,9.75832E-05,0.003371792,-0.052257628,-0.026223603,0.008618538,-0.056428728,-0.066103944,-0.044179639,-0.037115104,-0.019479954,0.121122648,-0.033088506,-0.05265159,-0.029461709,0.033848202,-0.05061434,-0.139292828,-0.06775044,-0.052893914,0.034816455,0.023159784,-0.066103944,0.011669873,0.021534395,-0.081458155,-0.059782328,-0.08449818,-0.08062669,-0.064295186,-0.098803705,-0.071239403,-0.129876996,0.019397175,0.019509547,-0.017664372,-0.039531383,0.040888783,-0.000120656
31/07/2002,0.003463364,0.003999798,0.014066616,-0.018746451,-0.000578274,-0.086923037,0.020148529,0.01506523,0.013694472,0.002889158,-0.038146695,-0.003634619,0.003482791,-0.045562264,-0.00709467,0.007969774,-0.03169463,-0.049045966,-0.069445514,-0.050152099,-0.042606251,-0.036763384,-0.09923612,-0.08068132,-0.060583772,-0.066162512,-0.056169082,-0.147853134,-0.080966563,-0.027094602,0.008998014,0.000526412,-0.049045966,0.020148529,0.014066616,-0.131480048,-0.039185753,-0.070236263,-0.089945823,-0.064827328,-0.13213061,-0.077944903,-0.084818335,-0.005415823,-0.006695869,-0.044809586,-0.06722942,0.008038554,-0.002829063
30/08/2002,0.003131835,0.003234922,0.02209448,0.03117899,0.02944617,0.008850652,0.017757156,0.01269449,0.014701805,0.030473944,0.025224423,0.026522601,0.019820298,0.071453901,0.014089445,0.014346269,0.000119463,0.043263488,-0.005681319,-0.009582483,-0.003902901,0.005735895,-0.00037884,0.001526701,0.008873184,0.060618795,-0.014189195,0.089086178,0.005608734,-0.037455255,0.016318166,0.021308307,0.043263488,0.017757156,0.02209448,0.008266615,-0.013545102,-0.020464071,-0.000669544,0.012758116,0.018290031,0.006565387,-0.020384452,0.03940243,0.013729659,0.007443287,0.003745421,0.022145973,0.002877427
30/09/2002,0.003291965,0.003525611,0.018316065,0.006752645,0.011668825,-0.014056874,0.022634749,0.020244798,0.016161208,0.019500114,-0.014565867,0.019071923,0.015272436,-0.027574147,0.037264934,0.015509485,-0.017080726,-0.021093899,-0.100758958,-0.065158852,-0.087804706,-0.052752785,-0.130079808,-0.101430565,-0.093247747,-0.059606986,-0.04663107,-0.185648462,-0.099749683,-0.015310404,0.011050002,0.013737446,-0.021093899,0.022634749,0.018316065,-0.157624186,-0.099848784,-0.018397157,-0.118162232,-0.081617495,-0.084438642,-0.108679508,-0.116570654,0.037659125,-0.008634097,-0.056438338,-0.08455848,0.024260515,0.00272169
31/10/2002,0.003267051,0.003319435,-0.008210641,-0.00534593,-0.014124908,-0.010311376,-0.008831277,-0.00601728,-0.003291632,-0.018004409,-0.008339977,-0.013425803,-0.008878793,0.066050593,0.078836566,-0.008783735,0.027342314,0.01901335,0.072100886,-0.026586136,0.024187149,-0.057329486,0.090979579,0.058640094,0.031825831,0.002372673,-0.06650241,0.134607999,0.076260041,0.032349481,-0.002847688,-0.009401208,0.01901335,-0.008831277,-0.008210641,0.107050113,0.047168961,-0.063691217,0.083980489,0.048311269,0.00642384,0.088016446,0.188710683,-0.010314731,0.007912674,0.034044981,0.049416927,0.007616886,0.002072497
29/11/2002,0.003045414,0.002928385,-0.006960885,-0.012649042,0.001059692,0.040270066,-0.007927296,0.005932309,-0.00060438,-0.00234205,0.061346254,0.015632784,0.009552293,0.036317178,0.026294787,0.01181542,0.082682751,0.056433893,0.027367037,0.026521732,0.018169138,-0.058903192,0.050733065,0.052215788,0.015201981,0.071483007,0.033757491,0.029076062,0.061547854,-0.039977154,0.002616202,0.012311906,0.056433893,-0.007927296,-0.006960885,0.05793481,0.050874179,0.040604192,0.035691555,0.052984442,0.024008475,0.058859137,0.12802646,0.002834722,0.01129613,0.032375954,0.04477585,0.01007307,-0.000213493
